Left context,Center,Right context,Created,Sphere,Type,Full context
Собственное платье фасона «, а-ля ,грек» Жене тоже не понравилось.,2005,художественная,роман,Собственное платье фасона « а-ля грек» Жене тоже не понравилось. [Анна Берсенева. Возраст третьей любви (2005)] [омонимия не снята]
"ля, ля- ля- ля, ля-", а-ля ,ля- ля…,2004,художественная,роман,"Офицеры в духанах сидят, кителя расстегнули ― курят сигары, тянут винцо и ля- ля- а, ля- ля, ля- ля- ля- ля, лля- ля, ля- ля- ля, ля- а-ля-ля- ля… [Татьяна Тронина. Русалка для интимных встреч (2004)] [омонимия не снята]"
лишь в кроссовки и носок, а-ля ,RHCP.,2010,"нехудожественная, публицистика",заметка,"В видео, приуроченном к выходу пластинки, рэпер очень эффектно убегает куда-то вдаль по пустым улицам Лоc-Анджелеса, одетый лишь в кроссовки и носок а-ля RHCP. [Елена Съянова. Оберег // «Знание - сила», 2010] [омонимия не снята]"
"Пока Элисон, в кожаном бюстье", а-ля ,"Мадонна и короткой юбке, выбиралась из ",1991,"нехудожественная, публицистика",статья,"Пока Элисон, в кожаном бюстье а-ля Мадонна и короткой юбке, выбиралась из машины, полицейским пришлось ловить ее, чтобы не упала. [Наталия Семенова. Морозовы // «Огонек». № 7, 1991] [омонимия не снята]"
сцену под стильный англоязычный блюз, а-ля ,Фрэнк Синатра ― господин Сотанвиль возит супругу ,2000,художественная,роман,Родители невесты выплывают на сцену под стильный англоязычный блюз а-ля Фрэнк Синатра ― господин Сотанвиль возит супругу на аристократичном креслице. [Марианна Баконина. Школа двойников (2000)] [омонимия не снята]
в нечто неудобоваримое и накраситься, а-ля ,попугай.,2001,художественная,роман,"Когда моей было 12 лет, я наслушалась её рассказов о девочках, приходящих в школу в самом что ни на есть « приличном виде» и первым делом мчащихся в, извините, дамский сортир, чтобы переодеться в нечто неудобоваримое и накраситься а-ля попугай. [Валериан Скворцов. Сингапурский квартет (2001)] [омонимия не снята]"
"двадцати в мини-юбке, с прической", а-ля ,"диско и огромными пластмассовыми сережками, которые ",1924-1932,художественная,роман,"Среди них была девушка лет двадцати в мини-юбке, с прической а-ля диско и огромными пластмассовыми сережками, которые лихо болтались у нее в ушах.   [Артем Веселый. Россия, кровью умытая (1924-1932)] [омонимия не снята]"
Те же легкие светлые кудри, а-ля ,"Мэрилин, родинка в углу губ, аккуратно ",1924-1932,художественная,роман,"Те же легкие светлые кудри а-ля Мэрилин, родинка в углу губ, аккуратно выщипанные брови… [Артем Веселый. Россия, кровью умытая (1924-1932)] [омонимия не снята]"
"груди, и в круге том", а-ля ,свастика на знамени Третьего рейха ― черные ,1934,"нехудожественная, публицистика",мемуары,"Как только увидел под расстегнутой курткой « гоблина» красную майку с белым кругом на груди, и в круге том а-ля свастика на знамени Третьего рейха ― черные серп с молотом. [В. А. Гиляровский. Друзья и встречи / Фогабал (1934)] [омонимия не снята]"
в какой-то фантастической военной форме, а-ля ,рюс: торжественно пронесли на рапирах шашлыки.  ,2011,"нехудожественная, электронная коммуникация",форум,"Потом потушили свет, в темноте зажгли жженку и устроили шествие в какой-то фантастической военной форме а-ля рюс: торжественно пронесли на рапирах шашлыки.   [коллективный. Форум: Салаты (2011)] [омонимия снята]"
Карусель расположился одетый и загримированный, а-ля ,Чаплин мим.,2004,"нехудожественная, электронная коммуникация",форум,На бетонной тумбе с чугунным набалдашником у арки Карусель расположился одетый и загримированный а-ля Чаплин мим. [Наши дети: Подростки (2004)] [омонимия снята]
"мне Потемкин, ― что при платье", а-ля ,бёль- пуль дамы нынче опять носят ,2003,"нехудожественная, публицистика",статья,"Прасковья Андреевна, сударь, вычитала в « Вольном корреспонденте», ― обратился ко мне Потемкин, ― что при платье а-ля бёль- пуль дамы нынче опять носят и башмаки с высокими выгибными каблуками. [Анастасия Гулина. Правый десант продолжается // «Богатей» (Саратов), 2003.04.17] [омонимия не снята]"
с отделкой из перьев или, а-ля ,бёль- пуль.,2003,"нехудожественная, публицистика",статья,"Он выбивался из сил, хлопоча лично и через подходящих агентов в приискании, по привезенной мерке, башмаков, с отделкой из перьев или а-ля бёль- пуль. [Анастасия Гулина. Правый десант продолжается // «Богатей» (Саратов), 2003.04.17] [омонимия не снята]"
и с широкополой черной шляпой, а-ля ,"бандит на голове, он беспокоится.  ",2003,"нехудожественная, публицистика",статья,"Когда на улице прохожие удивленно оборачиваются на его необычную фигуру, к тому же забронированную в невозможную крылатку и с широкополой черной шляпой а-ля бандит на голове, он беспокоится.   [Ольга Егорова. Красная Сирена // «Спецназ России», 2003.04.15] [омонимия не снята]"
несколько оборотов длинным шелковым шарфом, а-ля ,калабрийскйй разбойник.,2011,"нехудожественная, электронная коммуникация",форум,"На этом же, цыганском, дворике первый директор Дворца Искусств, поэт- футурист Иван Рукавишников, проводил учения с красноармейцами, чередуя грамоту с ружейными приемами; он был рыж и краснолиц, одет в нечто полувоенное, полуоперное, подпоясан в несколько оборотов длинным шелковым шарфом а-ля калабрийскйй разбойник. [коллективный. Форум: Должен ли практикующий гомеопат быть здоровым человеком? (2011)] [омонимия не снята]"
не вписывается в Советскую Россию, а-ля ,"Троцкий, вызывает у актрисы активное неприятие.",1984,"нехудожественная, учебно-научная",статья,"Ну а ненависть… тут все тоже понятно: та буржуазная, та имперская Россия, которая не вписывается в Советскую Россию а-ля Троцкий, вызывает у актрисы активное неприятие. [Д. С. Лихачев. Заметки о русском (1984)] [омонимия не снята]"
статуэтки танцовщиц в античных хитонах, а-ля ,"Айседора Дункан, фигурки грациозных пантер из ",2004,"бытовая, нехудожественная",письмо личное,"Замечательно вписывались в интерьер ар деко статуэтки танцовщиц в античных хитонах а-ля Айседора Дункан, фигурки грациозных пантер из черного мрамора, гладкие вазы с живыми цветами, проигрыватели и граммофоны, большие зеркала и потемневший саксофон.   [Письмо отца к дочери (2004)] [омонимия не снята]"
телах можно писать только юморески, а-ля ,Петросян.,2000,"нехудожественная, публицистика",мемуары,О наших мелких душонках в занюханых безобразных телах можно писать только юморески а-ля Петросян. [Татьяна Шмыга. Счастье мне улыбалось... (2000)] [омонимия не снята]
"с вами, девица выгибает кисть «", а-ля ,"лебедь», вскидывая ее так высоко, что ",1985,художественная,пьеса,"Здороваясь с вами, девица выгибает кисть « а-ля лебедь», вскидывая ее так высоко, что вам приходится либо легонько отпрянуть, либо уж невольно приложиться к ручке… [Венедикт Ерофеев. Вальпургиева ночь, или Шаги командора (1985)] [омонимия не снята]"
"Ими осваиваются различные технологии ( например, «", а-ля ,"прима», « по- сквозному») многослойного письма и ",2013,художественная,рассказ,"Ими осваиваются различные технологии ( например, « а-ля прима», « по- сквозному») многослойного письма и смешанной техники.   [Борис Поздняков. Ананасы // «Сибирские огни», 2013] [омонимия не снята]"
Герой фильма ―, а-ля ,Робин Гуд.,1990,"нехудожественная, публицистика",мемуары,Герой фильма ― а-ля Робин Гуд. [Андрей Макаревич. Все очень просто (1990)] [омонимия не снята]
Это « Однажды в Америке», а-ля ,рюс.,1985-2000,художественная,повесть,"Это « Однажды в Америке» а-ля рюс. [Александр Вяльцев. Путешествия в одну сторону (1985-2000) // «Звезда», 2001] [омонимия не снята]"
с энтузиазмом идут в организации, а-ля ,"Идущие вместе», Ирина Хакамада заметила, что ",1881,художественная,повесть,"На мой вопрос, почему же в таком случае многие молодые люди с энтузиазмом идут в организации а-ля «Идущие вместе», Ирина Хакамада заметила, что быть личностью ― путь не для всех, и многим проще слиться с массами. [И. С. Тургенев. Отрывки из воспоминаний своих и чужих (1881)] [омонимия не снята]"
можно купить китайские на синтепоне «, а-ля ,горный лыжник».,1926,"нехудожественная, публицистика",мемуары,"Перчатки можно купить китайские на синтепоне « а-ля горный лыжник». [Г. В. Иванов. Петербургские зимы [главы, не вошедшие в книжное издание] (1926)] [омонимия не снята]"
был на мне ― а шляпа, а-ля ,бержер де Трианон; и хотя я ,1987,художественная,роман,"Только не чепец тогда был на мне ― а шляпа а-ля бержер де Трианон; и хотя я и напудренная была ― но волосы мои, как золото, так и сквозили, так и сквозили!»  [Эдуард Лимонов. У нас была Великая Эпоха (1987)] [омонимия снята]"
"потом хрипло расхохотался, задирая бороду", а-ля ,Александр III.,2004,"нехудожественная, публицистика",заметка,"Генерал секунду моргал, а потом хрипло расхохотался, задирая бороду а-ля Александр III. [Бандерас косит под Чумакова // «Амурский Меридиан» (Хабаровск), 2004.12.22] [омонимия не снята]"
"ее волосы, поднятые на затылке «", а-ля ,"директуар», и на легкие колечки волос ",2004,"нехудожественная, публицистика",статья,"Я иронически смотрю на ее волосы, поднятые на затылке « а-ля директуар», и на легкие колечки волос на шее.   [Любовь Стоцкая. Тело в шляпе // «Бизнес-журнал», 2004.01.30] [омонимия не снята]"
"мне понравилась реклама, где парень", а-ля ,Майкл Джексон в бане ― реклама кваса « ,2004,"нехудожественная, публицистика",статья,"А мне понравилась реклама, где парень а-ля Майкл Джексон в бане ― реклама кваса « Никола» ― хоть смешная…   [Империя Эма // «Твой курс» (приложение к «Аргументам и фактам»), 2004.11.10] [омонимия не снята]"
"молодой человек, острижен ежиком, бородка", а-ля ,"Анри Катр  [под Генриха Четвертого ― фр.] , но белье на нем, ",1964,"нехудожественная, публицистика",монография,"Смотрю, напротив меня копошится молодой человек, острижен ежиком, бородка а-ля Анри Катр  [под Генриха Четвертого ― фр.] , но белье на нем, с позволения сказать, заношено до последнего градуса. [Л. А. Кассиль. Дело вкуса (1964)] [омонимия не снята]"
шутка: в процессе исполнения частушек, а-ля ,ярославские робята» они вдруг начинали отчаянно ,1973,художественная,повесть,"В программе « Поющих гитар» ( тех самых, что с завидной лихостью выдавали инструментальные пьесы группы « Ventures» за свои собственные) была такая шутка: в процессе исполнения частушек а-ля «ярославские робята» они вдруг начинали отчаянно петь Битлов. [Федор Кнорре. Каменный венок (1973)] [омонимия не снята]"
"ни мишек, у нас одежда", а-ля ,"взрослая, только для маленьких, и по ",2004,"нехудожественная, электронная коммуникация",форум,"У нас нет ни зайчиков, ни мишек, у нас одежда а-ля взрослая, только для маленьких, и по цветам она соответствует последним мировым фэшн- тенденциям», ― рассказывает Анастасия Василькова. [Приколы в Готике-2 (форум) (2004)] [омонимия не снята]"
старорежимными рецептами: как приготовлять цесарку, а-ля ,"Помпадур, в хорошей мадере со всякими ",2007,"нехудожественная, электронная коммуникация",форум,"Леву смешили, смеялись, предсказывая, что на будущий год его возьмут в армию, но обязательно в повара, и читали ему вслух поваренную книгу с невозможными старорежимными рецептами: как приготовлять цесарку а-ля Помпадур, в хорошей мадере со всякими пармезанами и фритюрами ― про которые мы даже не знаем, что это такое.   [Рекламные ролики на TV (2007)] [омонимия не снята]"
в русском стиле и малая «, а-ля ,Генрих IV».,2000,"нехудожественная, публицистика",мемуары,"Здесь были комнаты на любой вкус: синяя гостиная « Людовик XV», помпейская комната, арабская комната из розовых мраморов с низкими диванами, большая столовая в русском стиле и малая « а-ля Генрих IV». [Эльдар Рязанов. Подведенные итоги (2000)] [омонимия не снята]"
"на ноги, захохотал и крикнул!", А-ля ,ля! ,2015,"нехудожественная, публицистика",статья,"на ноги, захохотал и крикнул! А-ля-ля!  [Вера Кузьмина. Вытютюкивание на экспорт // «Эксперт», 2015] [омонимия не снята]"
окладистыми купеческими бородами и усами, а-ля ,"император Александр II, весь цвет славянофильства ",2003,"нехудожественная, публицистика",эссе,"По дороге Марина рассказала о приезжавшем в Питер Васильеве и демонстрации « Памяти» в его честь, явившей свету живописнейших персонажей с окладистыми купеческими бородами и усами а-ля император Александр II, весь цвет славянофильства и старорежимности.   [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]"
"в кольцо», « щеточкой», острые, прямые, «", а-ля ,"Вильгельм», пушистые, сливающиеся с бородой.",1976,"нехудожественная, публицистика",мемуары,"Усы ― « в кольцо», « щеточкой», острые, прямые, « а-ля Вильгельм», пушистые, сливающиеся с бородой. [В. И. Пызин, Д. А. Засосов. Из жизни Петербурга 1890-1910-х годов (записки очевидцев) (1976)] [омонимия не снята]"
с водителем человек в картузе, а-ля ,Жириновский повернулся и сказал:   ,2003,"нехудожественная, публицистика",репортаж,"Сидевший рядом с водителем человек в картузе а-ля-Жириновский повернулся и сказал:    [Елена Маслова. Молодежная страница // «Встреча» (Дубна), 2003.04.02] [омонимия не снята]"
Шлайн надел свою фуражку, а-ля ,Жириновский.  ,2003,"нехудожественная, публицистика",репортаж,"Шлайн надел свою фуражку а-ля-Жириновский.   [Елена Маслова. Молодежная страница // «Встреча» (Дубна), 2003.04.02] [омонимия не снята]"
в каталоге кулинарного « Салона»: « Пулярка, а-ля ,"Нева», « Филе миньон по- манчжурски», « Ветчина ",2004,"нехудожественная, публицистика",статья,"Так, например, как выражение русофильского настроения французских маэстро кухни, мы встречаем в каталоге кулинарного « Салона»: « Пулярка а-ля Нева», « Филе миньон по- манчжурски», « Ветчина по-московски», омары « а-ля Ярослав» и т. д.   [Рафаэль Файзуллин. Советы бывалого // «Солдат удачи», 2004.07.07] [омонимия не снята]"
С той же самой прической «, а-ля ,Чумаков № 2»!..,2003,"нехудожественная, публицистика",статья,"С той же самой прической « а-ля Чумаков № 2»!.. [Михаил Кругов. Властная война 2003-2008 годов // «Новая газета», 2003.01.09] [омонимия не снята]"
"джипах ― либо американских, либо уазиках", а-ля ,кабриолет с переставленными из « настоящих» джипов ,1981-1984,художественная,повесть,"Или на джипах ― либо американских, либо уазиках а-ля кабриолет с переставленными из « настоящих» джипов сиденьями. [Сергей Довлатов. Компромисс (1981-1984)] [омонимия не снята]"
г) Если эта линия будет, а-ля ,"волочаевская или спасская позиции, то особых ",2001,художественная,роман,"в) Обход 3 конной через Монголию. г) Если эта линия будет а-ля волочаевская или спасская позиции, то особых проблем в ее взятии не вижу. [Александр Гаррос, Алексей Евдокимов. [Голово]ломка (2001)] [омонимия не снята]"
"конечно, это не « развесистая клюква", а-ля ,рус».,2008,художественная,рассказ,"В этом стиле может хорошо получиться загородный дом, если, конечно, это не « развесистая клюква а-ля рус». [Герман Садулаев. Таблетка (2008)] [омонимия не снята]"
Например ― женское нижнее белье, а-ля ,маркиз де Сад.  ,2008,"нехудожественная, электронная коммуникация",форум,Например ― женское нижнее белье а-ля маркиз де Сад.   [коллективный. Форум: ДВР-2тк (2008)] [омонимия не снята]
Китель, а-ля ,"сержант Пеппер, Marc Jacobs.",2002,"нехудожественная, публицистика",статья,"Китель а-ля сержант Пеппер, Marc Jacobs. [Кто такая Элисон? // «Домовой», 2002.05.04] [омонимия не снята]"
а ля- гусар и туфли, а-ля ,"бабушка, Marc Jacobs.",2002,"нехудожественная, публицистика",статья,"Черные лакированные сапоги а ля- гусар и туфли а-ля бабушка, Marc Jacobs. [Кто такая Элисон? // «Домовой», 2002.05.04] [омонимия не снята]"
"надо отметить, имело свой шарм", а-ля ,"эстетика от Поля Готье ― модельера, который ",2003,"нехудожественная, публицистика",статья,"Смотрелось это забавно и, надо отметить, имело свой шарм а-ля эстетика от Поля Готье ― модельера, который в свое время вывел на подиум « домохозяек» ― полных женщин в бигуди и со швабрами в руках.   [Павел Руднев. Мокрый и счастливый. Мольеровская комедия в товстоноговском театре // «Известия», 2003.01.21] [омонимия не снята]"
"и смешать, заправить сметанным соусом", а-ля ,"Цезарь  ( сметану посолить, добавить чеснок давленный ",2001,"нехудожественная, публицистика",мемуары,"Всё порезать и смешать, заправить сметанным соусом а-ля Цезарь  ( сметану посолить, добавить чеснок давленный и специи по вкусу  ( я использую приправу для овощных салатов готовую в пакетике). [Александр Городницкий. «И жить еще надежде» (2001)] [омонимия не снята]"
И съесть., А-ля ,греческий: Брынзу  ( я покупаю недорогую Парижскую ,2001,"нехудожественная, публицистика",мемуары,"И съесть. А-ля греческий: Брынзу  ( я покупаю недорогую Парижскую бурёнку) порезать, смешать с резанным огурцом, помидором и перцем, заправить растительным маслом, посыпать специями Для овощных салатов  ) Мешать только после заправки ― так мягкая недорогая брынза меньше мнётся. [Александр Городницкий. «И жить еще надежде» (2001)] [омонимия не снята]"
"и скрестивши руки на груди,", а-ля ,Буонапарте в канун своего последнего Ватерлоо.,2001,художественная,рассказ,"И снова замирает, на этoт раз со склоненной головою и скрестивши руки на груди, а-ля Буонапарте в канун своего последнего Ватерлоо. [Галина Щербакова. Дивны дела Твои, Господи... (2001)] [омонимия не снята]"
"Россини, сыр Шарье и потроха", а-ля ,Канн.  ,1992,художественная,рассказ,"Друзья заказали филе Россини, сыр Шарье и потроха а-ля Канн.   [Юрий Давыдов. Дорога на Голодай (1992)] [омонимия не снята]"
горняцкую фуражку 	 С узким козырьком «, а-ля ,"Нахимов»  	 И высокой бархатной тульею,  	 Черного ",1876,художественная,роман,"Был я первокурсник желторотый, ―  	 Он уже заканчивал второй,  	 И носил горняцкую фуражку 	 С узким козырьком « а-ля Нахимов»  	 И высокой бархатной тульею,  	 Черного же бархата погоны 	 С золоченым вензелем литым 	 И изящной синей окантовкой,  	 И, общественной согласно мерке,  	 Приобрел мужской изрядный опыт,  	 Так как регулярно посещал 	 « Мраморный» ― весьма известный зал 	 Танцевальный в Кировском ДК,  	 Где происходили то и дело 	 Громкие разборки из-за женщин 	 Между [Г. П. Данилевский. Потемкин на Дунае (1876)] [омонимия не снята]"
папу с мамой в спальне, а-ля ,садо- мазо и дедушкин портрет с ,1887,художественная,_,"Я не отрывала крылья мухам и не занималась онанизмом, представляя себе трахающихся кроликов, папу с мамой в спальне а-ля садо- мазо и дедушкин портрет с полковничьими погонами, откуда-то взявшимися на плечах у доктора отнюдь не военных наук, работающего над, как это называлось, мирным атомом в каждом хлеву. [И. Л. Леонтьев-Щеглов. Миньона (Из хроники Мухрованской крепости) (1887)] [омонимия не снята]"
они приобрели налет изысканной модерновой  «, а-ля ,"рюскости», все чем-то напоминали избушку на ",1900,художественная,рассказ,"Все они приобрели налет изысканной модерновой  « а-ля-рюскости», все чем-то напоминали избушку на курьих ножках, построенную той же командой в Абрамцеве для « девочки с персиками», Верочки Мамонтовой.   [Скиталец (С. Г. Петров). Октава (1900)] [омонимия не снята]"
в синеве с видом наверх, а-ля ,CS/ free view.,1904.04.01,"нехудожественная, публицистика",информационное сообщение,"В  "" Морровинде""  такое часто было, но там проваливаясь сквозь землю главный герой телепортировался наверх, а в Готике такого не предусмотрели и мой маг помирал в синеве с видом наверх а-ля CS/ free view. [неизвестный. Вести (1904.04.01) // «Русь», 1904] [омонимия не снята]"
по последней моде и причесанным, а-ля ,Капуль,1998,"нехудожественная, публицистика",статья,"Последний, еще двадцатилетним малым, сперва ходил в картузе и поддевке, по-купечески, раза три со стариком Рошфором ездил в Париж за « модьем», но после третьей поездки, продолжавшейся около двух месяцев, так как Рошфор там с месяц прохворал и месяц отдыхал после болезни, вместо « Ванятки» в картузе бородатым, в долгополом сюртуке родитель увидал своего единственного сына франтом, одетым по последней моде и причесанным а-ля Капуль [Архангельские мужики // «Профессионал», 1998.07.01] [омонимия не снята]"
"цилиндр, взбив круглую каштановую бороду", а-ля ,"Жан Ришпен, он сидел по целым ",1955-1975,"нехудожественная, публицистика",мемуары,"Там, надев фрак и цилиндр, взбив круглую каштановую бороду а-ля Жан Ришпен, он сидел по целым дням в кафе « Клозери де лила» за рюмкой абсента, обсуждая с французскими декадентами вопросы нового искусства. [А. С. Эфрон. Страницы воспоминаний (1955-1975)] [омонимия не снята]"
было ДО введения системы тестов, а-ля ,Пиндостания.,2011,"нехудожественная, электронная коммуникация","комментарии, форум","Учителя, может быть и рады бы были давать материал так, как это было ДО введения системы тестов а-ля Пиндостания. [коллективный. Форум: Раздень Наташу Ростову (2011)] [омонимия не снята]"
Эксперименты, а-ля ,Майкельсон ― Морли.,2002,"нехудожественная, публицистика",статья,"Эксперименты а-ля Майкельсон ― Морли. [Анна Карабаш. Человек-утро // «Домовой», 2002.10.04] [омонимия не снята]"
"уж не говорю), примитивный декор «", а-ля ,рюс» и захламленная территория? ,2007,"нехудожественная, публицистика",статья,"Не оскорбляют ли их барачного типа строения с затхлыми комнатушками, почти без мебели ( о других удобствах уж не говорю), примитивный декор « а-ля рюс» и захламленная территория?  [К. Злосчастьев. Эфир возвращается? // «Наука и жизнь», 2007] [омонимия не снята]"
возвести на Большой Якиманке дом, а-ля ,"боярский терем, как миллионщик Арсений Морозов ",2001,художественная,роман,"Стоило купцу Игумнову возвести на Большой Якиманке дом а-ля боярский терем, как миллионщик Арсений Морозов отгрохал особняк на Воздвиженке в мавританском стиле ( о чем его матушка резонно заметила: « Раньше одна я знала, что ты дурак, а теперь вся Москва знает»). [Сергей Таранов. Черт за спиной (2001)] [омонимия не снята]"
Движения ног пока остались « лягушачьими» («, а-ля ,"брасс» ― по-французски и будет « по-лягушачьи»), а ",2013,"нехудожественная, публицистика",статья,"Движения ног пока остались « лягушачьими» (« а-ля брасс» ― по-французски и будет « по-лягушачьи»), а вот руки пловцов взмыли над водой, подобно крыльям бабочки. [Лев Лурье. Дар под дых // «Огонек», 2013] [омонимия не снята]"
в джинсах и с хвостиком «, а-ля ,"Кадоган», то сцепившиеся Савва и Саша, ",2008.05.14,"нехудожественная, публицистика",заметка,"Мерещились то развороченная « Герда», то живой Кирилл Айдаров, в джинсах и с хвостиком « а-ля Кадоган», то сцепившиеся Савва и Саша, которые выдирали друг у друга радиомикрофон, то улыбчивый Сергей Анатольевич Давыдов рядом с огромным компьютером. [Вероника Гудкова. Хадид выступает за Россию (2008.05.14) // http://www.rbcdaily.ru/2008/05/14/lifestyle/342718.shtml, 2008] [омонимия не снята]"
"энь хожу я, ночь гу-", а-ля ,ю… ,1965-1994,художественная,повесть,"Де- и- энь хожу я, ночь гу- а-ля-ю…  [Борис Левин. Инородное тело (1965-1994)] [омонимия не снята]"
серьезные господа в лохматых ушанках, а-ля ,кот на заборе».,1984,художественная,повесть,А вот и живое напоминание о советских временах и повести Войновича « Шапка»: в приемной адвоката сидят серьезные господа в лохматых ушанках а-ля «кот на заборе». [Сергей Довлатов. Иная жизнь (1984)] [омонимия снята]
поставить себя на место другого»., А-ля ,"вот вырасту и буду мороженое продавать, ",2004,"нехудожественная, публицистика",информационное сообщение,"поставить себя на место другого». А-ля «вот вырасту и буду мороженое продавать, мороженщики больше всех мороженого едят». [Стиль эпохи джаза // «Мир & Дом. Residence», 2004.04.15] [омонимия не снята]"
"конце концов, небольшой кусочек забав", а-ля ,Церетели в виду Петропавловки не такой ,2003,"нехудожественная, публицистика",интервью,"В конце концов, небольшой кусочек забав а-ля Церетели в виду Петропавловки не такой уж плохой обмен на голы Халка и Кержакова.   [Светлана Писарская: «Москва по сравнению с Шанхаем выглядит глубокой нецивилизованной провинцией» // «Мир & Дом. City», 2003.09.15] [омонимия не снята]"
Можно носить бороду и поддевку, а-ля ,"рюсс, стричься в кружок, превратить в ",2009,художественная,повесть,"Можно носить бороду и поддевку а-ля рюсс, стричься в кружок, превратить в зрелище самого себя. [Татьяна Соломатина. Большая собака, или «Эклектичная живописная вавилонская повесть о зарытом» (2009)] [омонимия не снята]"
ведь и рецепту нашего биф-, а-ля ,мод ( покажите рукой на тарелку) сто ,2003,"нехудожественная, публицистика",статья,"А что им, действительно, не двадцать два, как Маяковскому ( это добавьте минут через пять, не раньше, как бы отвлеченно, как бы отвечая собственным мыслям ― неважно, что разговор будет уже о другом), так ведь и рецепту нашего биф- а-ля-мод ( покажите рукой на тарелку) сто лет в обед ― а как вкусно, как свежо!    [Юрий Гладильщиков. Певцы Чикаго и Великой Китайской стены. Берлинский кинофестиваль открылся двумя шикарными фильмами // «Известия», 2003.02.07] [омонимия не снята]"
в конце титров удивительное уведомление, а-ля ,копирайт: что песни и танцы в ,1989,"нехудожественная, публицистика",статья,"Кто досидит, заметит в конце титров удивительное уведомление а-ля копирайт: что песни и танцы в исполнении Гира, Зелльвегер и Зета- Джонс исполняли именно Гир, Зелльвегер и Зета- Джонс.   [Александр Полещук. Колокола Брюгге. Письма с дороги // «Вокруг света», 1989] [омонимия не снята]"
режиссера внезапно был обогащен эпизодом, а-ля ,"рюс, никакого отношения к действию не ",2000,художественная,роман,"Итальянский спектакль с закрученными ходами столичного режиссера внезапно был обогащен эпизодом а-ля рюс, никакого отношения к действию не имевшим.   [Марианна Баконина. Девять граммов пластита (2000)] [омонимия не снята]"
то есть он носил причёску, а-ля ,маленький Калигула.,2007,"нехудожественная, публицистика",статья,"Голова ребёнка была голая, и лишь спереди был отпущен чубчик, аккуратно подрезанный посередине лба, как у древнеримских цезарей, то есть он носил причёску а-ля маленький Калигула. [Анна Стогова. Государственная мудрость легкомыслия // «Родина», 2007] [омонимия не снята]"
