Left context;Center;Right context;Created;Type;Full context;Left_context_POS;Right_context_POS
это в таком ракурсе / как; будто ;это огромные деревья.;1980-1985;художественный;Ну / а предварительно надо лечь на асфальт и сфотографировать это в таком ракурсе / как будто это огромные деревья. [Вячеслав Солнцев. Рассказ о жизни в Норильске (1980-1985) // Русская разговорная речь Заполярья: Норильск: Тексты / Под ред. А. С. Герда. СПб., 2002] [омонимия не снята];CONJ;PRCL
А ты́; будто ;не зна́ешь.;1983;художественный;А ты́ бу́дто не зна́ешь. [Глеб Панфилов, Максим Горький. Васса, к/ф (1983)] [омонимия не снята];UNKN;PRCL
У меня́ тако́е ощуще́ние,; будто ;я́ рабо́таю с ва́ми сто́ ле́т.;1984;художественный;У меня́ тако́е ощуще́ние, бу́дто я́ рабо́таю с ва́ми сто́ ле́т. [Александр Панкратов, Анатолий Усов. Счастливая, Женька!, к/ф (1984)] [омонимия не снята];NOUN;UNKN
Как; будто ;ничего́.;1967;художественный;Как бу́дто ничего́. [Анатолий Гребнев, Марлен Хуциев. Июльский дождь, к/ф (1967)] [омонимия не снята];CONJ;UNKN
Мы́ деви́чник устро́или!; будто ;бы! ;1943;художественный;Мы́ деви́чник устро́или! Бу́дто бы!  [Александр Столпер, Борис Иванов, Константин Симонов. Жди меня, к/ф (1943)] [омонимия не снята];VERB;PRCL
Я́ притворю́сь /; будто ;я́ ма́ленькая ту́чка.;1969-1972;художественный;Я́ притворю́сь / бу́дто я́ ма́ленькая ту́чка. [Алан Милн, Борис Заходер, Геннадий Сокольский, Федор Хитрук. Винни-Пух и все, все, все…, м/ф (1969-1972)] [омонимия не снята];VERB;UNKN
Как; будто ;э́ти куски́ де́рева похо́жи на отсе́ки/ ;2010;научный;Как бу́дто э́ти куски́ де́рева похо́жи на отсе́ки/ м/ зна́ете/ как быва́ет/ фс/ сто́йло для скота́. [Вячеслав Иванов. Этрусский язык. Проект Academia (ГТРК Культура) (2010)] [омонимия не снята];CONJ;NOUN
Внуша́ть таки́м / как я́ /; будто ;среди таки́х / как вы́ / существу́ют прили́чные ;1974;разговорный;Внуша́ть таки́м / как я́ / бу́дто среди таки́х / как вы́ / существу́ют прили́чные лю́ди.   [В.Д.Дувакин, В.Е.Ардов. Беседа В.Д. Дувакина с В.Е. Ардовым (Вторая беседа - 6 августа 1974 года) (1974) // http://oralhistory.ru/] [омонимия не снята];UNKN;PREP
Сказа́ла /; будто ;ты́… разве́дчик.  ;1992;художественный;Сказа́ла / бу́дто ты́… разве́дчик.   [Алексей Тимм, Георгий Шенгелия. Менялы, к/ф (1992)] [омонимия не снята];VERB;UNKN
всего́ мо́жно ожида́ть / о́н ду́мает /; будто ;ещё ма́льчик!   ;1973;художественный;А от него́ тепе́рь всего́ мо́жно ожида́ть / о́н ду́мает / бу́дто ещё ма́льчик!    [Алексей Коренев, Георгий Садовников. Большая перемена, к/ф (1973)] [омонимия не снята];VERB;ADVB
Ка́к; будто ;пожа́р восстаёт.;1969;художественный;Ка́к бу́дто пожа́р восстаёт. [Будимир Метальников, Игорь Таланкин, Юрий Нагибин. Чайковский, к/ф (1969)] [омонимия не снята];NOUN;NOUN
Ну как; будто ;она́ не роди́т нигде́ / кро́ме как ;1967;художественный;Ну как бу́дто она́ не роди́т нигде́ / кро́ме как у на́с. [Александр Борщаговский, Татьяна Лиознова. Три тополя на Плющихе, к/ф (1967)] [омонимия не снята];CONJ;UNKN
Наде́лал переполо́х.; будто ;хо́рь в куря́тне.;1976;художественный;Наде́лал переполо́х. Бу́дто хо́рь в куря́тне. [Александр Митта, Валерий Фрид, Юлий Дунский. Сказ про то, как царь Петр арапа женил, к/ф (1976)] [омонимия не снята];NOUN;VERB
Де́рево потёртое/ отве́рстия; будто ;отполиро́ваны.;1979;художественный;Де́рево потёртое/ отве́рстия бу́дто отполиро́ваны. [Валентин Черных, Владимир Меньшов. Москва слезам не верит, к/ф (1979)] [омонимия не снята];NOUN;NOUN
Я́ благоду́шен / я́ споко́ен / как; будто ;меня́ ле́чат голубы́ми сна́ми.  ;1967;художественный;Я́ благоду́шен / я́ споко́ен / как бу́дто меня́ ле́чат голубы́ми сна́ми.   [Владимир Дмитриевский, Евгений Шерстобитов, Иван Ефремов. Туманность Андромеды, к/ф (1967)] [омонимия не снята];CONJ;UNKN
Тепе́рь как; будто ;я́сно / что неизве́стные / захвати́вшие « До́дж» / име́ли ;2000;художественный;Тепе́рь как бу́дто я́сно / что неизве́стные / захвати́вшие « До́дж» / име́ли ра́цию / кото́рую мы́ и́щем. [Владимир Богомолов, Михаил Пташук. В августе 44-го, к/ф (2000)] [омонимия не снята];CONJ;ADJS
Для спецу́ры я́; будто ;не существу́ю.;1989;художественный;Для спецу́ры я́ бу́дто не существу́ю. [Владимир Кунин, Петр Тодоровский. Интердевочка, к/ф (1989)] [омонимия не снята];UNKN;PRCL
вы́ ведёте себя́ та́к / как; будто ;бы… вы́ у себя́ до́ма!   ;2007;художественный;Да почему́ же вы́ ведёте себя́ та́к / как бу́дто бы… вы́ у себя́ до́ма!    [Алексей Слаповский, Анатолий Максимов, Константин Эрнст, Тимур Бекмамбетов. Ирония судьбы. Продолжение, к/ф (2007)] [омонимия не снята];CONJ;UNKN
Что; будто ;бы у меня́/ бу́дто бы/ у ;1969;разговорный;"Что бу́дто бы у меня́/ бу́дто бы/ у меня́ отноше́ние к Кручёныху то́же тако́е/ "" Э́то дря́нь/ о кото́рой не сто́ит и ду́мать"".   [В.Д. Дувакин, Е.Г. Гуро. Беседа В.Д. Дувакина с Е.Г. Гуро (Вторая  беседа – 25 декабря 1969 года) (1969) // http://oralhistory.ru/] [омонимия не снята]";CONJ;PRCL
Ну ты́ како́й-то стра́нный / как; будто ;немно́го с приве́том.  ;1986;художественный;Ну ты́ како́й-то стра́нный / как бу́дто немно́го с приве́том.   [Александр Бородянский, Карен Шахназаров. Курьер, к/ф (1986)] [омонимия не снята];CONJ;NOUN
Маяко́вского» прижило́сь сра́зу – очеви́дно/ как; будто ;ну́жно бы́ло.;2012;разговорный;И « Маяко́вского» прижило́сь сра́зу – очеви́дно/ как бу́дто ну́жно бы́ло. [В.Г.Буданов, В.М.Розин. Беседа В.Г. Буданова с В.М. Розиным (Вторая беседа) (2012) // http://oralhistory.ru/] [омонимия не снята];CONJ;ADJS
Как; будто ;я́ возвраща́юсь из гла́вка в гости́ницу / ;1981;художественный;Как бу́дто я́ возвраща́юсь из гла́вка в гости́ницу / а меня́ вы́селили… и в но́мере моём полно́ иностра́нцев… [Виктор Мережко, Никита Михалков. Родня, к/ф (1981)] [омонимия не снята];CONJ;UNKN
Как; будто ;ты́ не зна́ешь/ что о́н Ива́н ;2012;разговорный;Как бу́дто ты́ не зна́ешь/ что о́н Ива́н Ива́ныч / е́сли о́н к тебе́ пришёл.   [Д.Б.Споров, Д.В.Сарабьянов, Е.Б.Мурина. Беседа Д.Б. Спорова с Е.Б. Муриной и Д.В. Сарабьяновым (2012) // http://oralhistory.ru/] [омонимия не снята];CONJ;UNKN
ни в чём не быва́ло /; будто ;мы́ с ни́м ста́рые прия́тели.;1967;художественный;Снача́ла чу́ть на́с не утопи́л / а тепе́рь подми́гивает / как ни в чём не быва́ло / бу́дто мы́ с ни́м ста́рые прия́тели. [Анатолий Гребнев, Марлен Хуциев. Июльский дождь, к/ф (1967)] [омонимия не снята];VERB;UNKN
Как; будто ;была́ ло́шадь.;1936;художественный;Как бу́дто была́ ло́шадь. [Владимир Вайншток, Давид Гутман, Жюль Верн, Олег Леонидов. Дети капитана Гранта, к/ф (1936)] [омонимия не снята];CONJ;UNKN
Каза́лось/; будто ;окно́ вы́валилось и во́т/ зна́чит/ отту́да ;1969;разговорный;Каза́лось/ бу́дто окно́ вы́валилось и во́т/ зна́чит/ отту́да отку́да-то вы́лезло/ или/ напро́тив/ отсю́да туда́ вле́зло/ це́лая ку́ча чего́-то замеча́тельного. [В.Д. Дувакин, Е.Г. Гуро. Беседа В.Д. Дувакина с Е.Г. Гуро (Вторая  беседа – 25 декабря 1969 года) (1969) // http://oralhistory.ru/] [омонимия не снята];NOUN;UNKN
как; будто ;ничего́ не случи́лось.;1999;художественный;как бу́дто ничего́ не случи́лось. [Александр Бородянский, Станислав Говорухин, Юрий Поляков. Ворошиловский стрелок, к/ф (1999)] [омонимия не снята];CONJ;UNKN
Что́ ты ве́ртишься /; будто ;тебе́ ши́ло воткну́ли в спи́ну!   ;1979;художественный;Что́ ты ве́ртишься / бу́дто тебе́ ши́ло воткну́ли в спи́ну!    [Георгий Юнгвальд-Хилькевич, Петр Григорьев. Ах, водевиль, водевиль!, к/ ф (1979)] [омонимия не снята];VERB;UNKN
чу́вствовали себя́ потерпе́вшими круше́ние / а; будто ;мы́ поселе́нцы / кото́рые при́были сюда́ основа́ть ;1965;художественный;Ну во́т / что́бы мы́ не чу́вствовали себя́ потерпе́вшими круше́ние / а бу́дто мы́ поселе́нцы / кото́рые при́были сюда́ основа́ть зде́сь сво́й посёлок.   [Борис Степанцев, Вадим Коростылев. Вовка в Тридевятом царстве, м/ф (1965)] [омонимия не снята];CONJ;UNKN
Ну что́ ты́ / как; будто ;тебя́ омолоди́ли?   ;1988;художественный;Ну что́ ты́ / как бу́дто тебя́ омолоди́ли?    [Владимир Бортко, Михаил Булгаков, Наталия Бортко. Собачье сердце, к/ф (1988)] [омонимия не снята];CONJ;UNKN
в селе́… хо́дят глу́пые мы́сли…; будто ;бы я́ / Ва́ся… в го́род пода́лся ;1972;художественный;А во́т у ва́с в селе́… хо́дят глу́пые мы́сли… бу́дто бы я́ / Ва́ся… в го́род пода́лся за ю́бкой. [Виктор Мережко, Виталий Мельников. Здравствуй и прощай, к/ф (1972)] [омонимия не снята];UNKN;PRCL
вспо́мнить / за две́ ты́щи / как; будто ;бли́же ничего́ не́ было.  ;1996;художественный;Смешно́ вспо́мнить / за две́ ты́щи / как бу́дто бли́же ничего́ не́ было.   [Александр Рогожкин. Операция С Новым Годом, к/ф (1996)] [омонимия не снята];CONJ;NOUN
А ты́ вот фи́зику сказа́ла /; будто ;не зна́ешь / что тако́е электри́ческий то́к.;1972;художественный;А ты́ вот фи́зику сказа́ла / бу́дто не зна́ешь / что тако́е электри́ческий то́к. [Александр Митта, Михаил Львовский. Точка, точка, запятая, к/ф (1972)] [омонимия не снята];VERB;PRCL
Как; будто ;мастурби́рует.;1998;художественный;Как бу́дто… мастурби́рует. [Александр Баширов. Железная пята олигархии, к/ф (1998)] [омонимия не снята];CONJ;VERB
Пове́ришь / та́к себя́ чу́вствую /; будто ;с жено́й и детьми́ е́ду.  ;1987;художественный;Пове́ришь / та́к себя́ чу́вствую / бу́дто с жено́й и детьми́ е́ду.   [Анатолий Эйрамджан, Геральд Бежанов. Где находится нофелет?, к/ф (1987)] [омонимия не снята];VERB;PREP
Домо́й прихожу́ / а о́н как; будто ;уж винова́т пе́редо мно́й / во́т смо́трит / ;2007;художественный;Домо́й прихожу́ / а о́н как бу́дто уж винова́т пе́редо мно́й / во́т смо́трит / и улы́бка во́т э́та во́т та́к во́т… смо́трит / и́… И вро́де же я́ пра́в!  [Александр Новотоцкий-Власов, Владимир Моисеенко, Никита Михалков. Двенадцать, к/ф (2007)] [омонимия не снята];CONJ;ADVB
как; будто ;оди́н дли́нный- дли́нный де́нь.  ;1968;художественный;как бу́дто оди́н дли́нный- дли́нный де́нь.   [Георгий Натансон, Эдвард Радзинский. Еще раз про любовь, к/ф (1968)] [омонимия не снята];CONJ;NOUN
Всё как; будто ;та́к и на́до.;1968;художественный;Всё как бу́дто та́к и на́до. [Георгий Натансон, Эдвард Радзинский. Еще раз про любовь, к/ф (1968)] [омонимия не снята];CONJ;NOUN
мо́й у тебя́ на руке́.; будто ;ви́жу во сне́ свою́ ма́тушку.;1956;художественный;мо́й у тебя́ на руке́. Бу́дто ви́жу во сне́ свою́ ма́тушку. [Александр Птушко, Михаил Кочнев. Илья Муромец, к/ф (1956)] [омонимия не снята];UNKN;NOUN
Как; будто ;кто́ гвозде́й наты́кал.  ;1983;художественный;Как бу́дто кто́ гвозде́й наты́кал.   [Алексей Дударев, Игорь Добролюбов. Белые Росы, к/ф (1983)] [омонимия не снята];CONJ;UNKN
Ты́ как; будто ;не разучи́лся.  ;1963;художественный;Ты́ как бу́дто не разучи́лся.   [Всеволод Вишневский, Самсон Самсонов, Софья Вишневецкая. Оптимистическая трагедия, к/ф (1963)] [омонимия не снята];CONJ;PRCL
Как; будто ;о́н каса́ется са́мой большо́й та́йны вселе́нной.;1980;художественный;Как бу́дто о́н каса́ется са́мой большо́й та́йны вселе́нной. [Виктор Титов, М. Семенова, Р. Штраль. Адам женится на Еве, к/ф (1980)] [омонимия не снята];CONJ;UNKN
как; будто ;вро́де стесня́лись или каки́е-то бы́ли причи́ны.;1970;разговорный;как бу́дто вро́де стесня́лись или каки́е-то бы́ли причи́ны. [А.А. Реформатский, И.С. Ильинская, С.С. Высотский. Беседа о произношении (1970) // Фонотека ИРЯ им. В.В. Виноградова РАН / опубл.: Незабытые голоса России:  Звучат голоса отечественных филологов. Вып. 1. М.: ЯСК, 2009] [омонимия не снята];CONJ;NOUN
Как; будто ;заснёшь.;1974;разговорный;Как бу́дто заснёшь. [В.Д.Дувакин, В.Е.Ардов. Беседа В.Д. Дувакина с В.Е. Ардовым (Вторая беседа - 6 августа 1974 года) (1974) // http://oralhistory.ru/] [омонимия не снята];CONJ;VERB
Но́… в о́бщем / ну́ / говоря́т /; будто ;вы́ / зна́чит / вы́ объяви́ли войну́ А́нглии…  ;1979;художественный;Но́… в о́бщем / ну́ / говоря́т / бу́дто вы́ / зна́чит / вы́ объяви́ли войну́ А́нглии…   [Григорий Горин, Марк Захаров. Тот самый Мюнхгаузен, к/ф (1979)] [омонимия не снята];NOUN;UNKN
Как; будто ;ему́ впра́вду живы́е но́ги приста́вили.;1948;художественный;Как бу́дто ему́ впра́вду живы́е но́ги приста́вили. [Александр Столпер, Борис Полевой, Мария Смирнова. Повесть о настоящем человеке, к/ф (1948)] [омонимия не снята];CONJ;UNKN
Смо́трят / как; будто ;я́ чё - то у ни́х отнима́ю.;1963;художественный;Смо́трят / как бу́дто я́ чё - то у ни́х отнима́ю. [Анатолий Аграновский, Лев Агранович, Татьяна Лиознова. Им покоряется небо, к/ф (1963)] [омонимия не снята];CONJ;UNKN
Мне́ присни́лся стра́шный со́н.; будто ;ко́нчилось моё могу́щество.;1941;художественный;Мне́ присни́лся стра́шный со́н. Бу́дто ко́нчилось моё могу́щество. [Алексей Симуков, Валентин Кадочников, Федор Филиппов. Волшебное зерно, к/ф (1941)] [омонимия не снята];NOUN;VERB
надо лбо́м – о́н жи́л как; будто ;свое́й со́бственной жи́знью/ о́н шевели́лся без ;2012;разговорный;И была́ у него́ одна́ осо́бенность/ у него́ бы́ли во́лосы/ ра́вных кото́рым я́ никогда́ в жи́зни не ви́дел ни до́/ ни по́сле/ они́ бы́ли не про́сто белоку́рые/ они́ бы́ли розова́то- белоку́рые/ они́ бы́ли таки́е то́нкие и таки́е кудря́вые/ что э́тот чу́б надо лбо́м – о́н жи́л как бу́дто свое́й со́бственной жи́знью/ о́н шевели́лся без ве́тра… Понима́ете?  [В.В.Соколов, М.C. Найдёнкин. Беседа М.С. Найдёнкина с В.В. Соколовым (2012) // http://oralhistory.ru/] [омонимия не снята];CONJ;VERB
у меня́ тако́е чу́вство / как; будто ;я́ вста́л здоро́вый по́сле до́лгой боле́зни.;2000;художественный;Зна́ешь / у меня́ тако́е чу́вство / как бу́дто я́ вста́л здоро́вый по́сле до́лгой боле́зни. [Авдотья Смирнова, Алексей Учитель. Дневник его жены, к/ф (2000)] [омонимия не снята];CONJ;UNKN
что́ врачи́ говори́ли/ что э́то; будто ;бы непра́вильный обме́н веще́ств.;1973;разговорный;Да́лее о́н расска́зывает о года́х своего́… свое́й учёбы/ о своём здоро́вье/ говори́т/ что́ с трина́дцати до двадцати́ трёх ле́т у него́ бы́ли чрезвыча́йные головны́е бо́ли и ча́сто теря́л созна́ние и что́ врачи́ говори́ли/ что э́то бу́дто бы непра́вильный обме́н веще́ств. [Б.Н. Делоне, В.Д. Дувакин. Беседа В.Д. Дувакина с Б.Н. Делоне (1973) // http://oralhistory.ru/] [омонимия не снята];ADJS;PRCL
Как; будто ;бы не слы́шит пря́м вообще́!   ;2002;художественный;Как бу́дто бы не слы́шит пря́м вообще́!    [Владимир Сорокин, Иван Дыховичный. Копейка, к/ф (2002)] [омонимия не снята];CONJ;PRCL
; будто ;мы́ то́ка с э́того… с зада́ния! ;1992;художественный;Бу́дто мы́ то́ка с э́того… с зада́ния!  [Алексей Тимм, Георгий Шенгелия. Менялы, к/ф (1992)] [омонимия не снята];;UNKN
; будто ;и войны́ не́ту.  ;1971;художественный;Бу́дто и войны́ не́ту.   [Борис Васильев, Владимир Роговой, Кирилл Рапопорт. Офицеры, к/ф (1971)] [омонимия не снята];;CONJ
Как; будто ;бы вы́ не зна́ете!   ;1949;художественный;Как бу́дто бы вы́ не зна́ете!    [Виктор Ардов, Владимир Немоляев. Счастливый рейс, к/ф (1949)] [омонимия не снята];CONJ;PRCL
Как; будто ;у на́с оно́ е́сть!   ;1978;художественный;Как бу́дто у на́с оно́ е́сть!    [Александр Хмелик, Михаил Козаков. Безымянная звезда, к/ф (1978)] [омонимия не снята];CONJ;PREP
тут уж можно вспоминать / как; будто ;это не с тобой и было.  ;1968;разговорный;Когда уже человеку 86 лет / тут уж можно вспоминать / как будто это не с тобой и было.   [А.В. Азарх-Грановская, В.Д.Дувакин. Беседы с А.В. Азарх-Грановской: Беседы 1-3 (1968) // «Собрание фонодокументов имени В.Д. Дувакина» Отдела устной истории Научной библиотеки МГУ им. М.В. Ломоносова, 2001] [омонимия не снята];CONJ;PRCL
Ка́к; будто ;вме́сте с непоро́чностию оставля́ет и у́м ;1835-2016;художественный;Ка́к бу́дто вме́сте с непоро́чностию оставля́ет и у́м челове́ка.   [Н.В. Гоголь. Невский проспект (исп. А. Бухмин) (1835-2016) // https://www.youtube.com/watch?v=AkUUAulXW7Q] [омонимия не снята];NOUN;NOUN
О́ / как; будто ;бы у меня́ ча́йник стащи́ли.  ;1936;художественный;О́ / как бу́дто бы у меня́ ча́йник стащи́ли.   [Александр Зархи, Иосиф Хейфиц, Леонид Любашевский, Леонид Рахманов. Депутат Балтики, к/ф (1936)] [омонимия не снята];CONJ;PRCL
; будто ;в са́мом де́ле для меня́.  ;1999;художественный;Бу́дто в са́мом де́ле для меня́.   [Алла Сурикова, Владимир Еремин. Хочу в тюрьму!, к/ф (1999)] [омонимия не снята];;PREP
Мы́ во́т как; будто ;бы чужи́е / а я́ то́чно бли́зкого ;1957;художественный;Мы́ во́т как бу́дто бы чужи́е / а я́ то́чно бли́зкого челове́ка провожа́ю.   [Александр Зархи, Евгений Воробьев, Михаил Папава. Высота, к/ф (1957)] [омонимия не снята];CONJ;PRCL
Как; будто ;она́ нырну́л.  ;2006;художественный;Как бу́дто она́ нырну́л.   [Владимир Пресняков, Кирилл Серебренников, Олег Пресняков. Изображая жертву, к/ф (2006)] [омонимия не снята];CONJ;UNKN
Как; будто ;ничего́ и не́ было / ни офице́ров / ;2005;художественный;Как бу́дто ничего́ и не́ было / ни офице́ров / ни всего́. [Александр Вайнштейн, Алексей Герман мл., Олег Антонов. Гарпастум, к/ф (2005)] [омонимия не снята];CONJ;UNKN
; будто ;не́т! ;1966;художественный;Бу́дто не́т!  [Геннадий Полока, Григорий Белых, Леонид Пантелеев. Республика ШКИД, к/ф (1966)] [омонимия не снята];;NOUN
Так гру́стно / как; будто ;бы родно́го потеря́ла.  ;2000;художественный;Так гру́стно / как бу́дто бы родно́го потеря́ла.   [Александр Атанесян, Илья Авраменко. Летний дождь, к/ф (2000)] [омонимия не снята];CONJ;PRCL
Зна́ешь… мне́ та́к ка́жется /; будто ;я́ всё бегу́ / бегу́… и когда́-нибудь ;1969;художественный;Зна́ешь… мне́ та́к ка́жется / бу́дто я́ всё бегу́ / бегу́… и когда́-нибудь обяза́тельно не успе́ю.   [Георгий Юнгвальд-Хилькевич, Михаил Мелкумов. Опасные гастроли, к/ф (1969)] [омонимия не снята];VERB;UNKN
О́н ви́дит /; будто ;бы княжна́ Над тёмной бе́здны глубино́ю ;1937;художественный;О́н ви́дит / бу́дто бы княжна́ Над тёмной бе́здны глубино́ю Стои́т / недви́жна и бледна́.   [Валентин Катаев, Владимир Легошин. Белеет парус одинокий, к/ф (1937)] [омонимия не снята];VERB;PRCL
Как; будто ;вы́ та́м демонстри́ровали фантасти́ческую ме́ткость в ;1971;художественный;Как бу́дто вы́ та́м демонстри́ровали фантасти́ческую ме́ткость в костю́ме Вильге́льма Те́лля.   [Авенир Зак, Владимир Бычков, Исай Кузнецов. Достояние Республики, к/ф (1971)] [омонимия не снята];CONJ;UNKN
на́шим све́дениям / э́тим « что́-то как; будто ;;1937;художественный;по на́шим све́дениям / э́тим « что́-то как бу́дто»…   [Алексей Каплер, Михаил Ромм. Ленин в Октябре, к/ф (1937)] [омонимия не снята];CONJ;
его́ старомо́дные доброде́тели всегда́ нагото́ве /; будто ;стру́ны а́рфы / то́лько дотро́ньтесь / и заигра́ют.  ;1957;художественный;Ва́ше высо́чество / его́ старомо́дные доброде́тели всегда́ нагото́ве / бу́дто стру́ны а́рфы / то́лько дотро́ньтесь / и заигра́ют.   [Григорий Козинцев, Евгений Шварц, Сааведра Мигель Сервантес. Дон Кихот, к/ф (1957)] [омонимия не снята];NOUN;ADJS
Пото́м весно́й… как; будто ;в феврале́ со́рок тре́тьего го́да к ;1973;разговорный;Пото́м весно́й… как бу́дто в феврале́ со́рок тре́тьего го́да к на́м бы́л тако́й кли́ч/ не хо́чет ли кто́ верну́ться в Москву́. [Б.Н. Делоне, В.Д. Дувакин. Беседа В.Д. Дувакина с Б.Н. Делоне (1973) // http://oralhistory.ru/] [омонимия не снята];CONJ;PREP
Как; будто ;на́м не нужна́ по́мощь!   ;1967;художественный;Как бу́дто на́м не нужна́ по́мощь!    [Владимир Дмитриевский, Евгений Шерстобитов, Иван Ефремов. Туманность Андромеды, к/ф (1967)] [омонимия не снята];CONJ;NOUN
темпера́мент е́сть / но́… го́вор ужа́сный.; будто ;они́ ничего́ не по́няли.;1967-1971;художественный;темпера́мент е́сть / но́… го́вор ужа́сный. Бу́дто они́ ничего́ не по́няли. [И.Л. Андроников. Обед в честь Качалова (1967-1971) // «Старое радио» http://www.staroehttp://www.staroeradio.ru/audio/9205] [омонимия не снята];ADJF;UNKN
Во́т те́ раз/ ты́; будто ;бы не по́мнишь!   ;1951;публицистический;Во́т те́ раз/ ты́ бу́дто бы не по́мнишь!    [Н.В. Гоголь. Мертвые души (инсценировка М. Булгакова) (1951) // «Старое радио» http://www.staroeradio.ru/audio/10438] [омонимия не снята];UNKN;PRCL
русского произношения / ну вот как; будто ;бы / не́ет / Правда в после́днее время / ;1976-1977;научный;"есть / мм как просто раздел / посвященный этому / Ну / известно скажем / что вот / в академической грамматике в разделе фонетика /  [первые два слова тихо] Лев Владимирыч Маргариты Ивановны / гмм рассматривается вопрос о том как произносится / какие гласные в каких / позициях / уу / в "" Современном русском языке"" Гвоздева / в книжке Аванесова / но вот такого экспериментального / исследования / вопросов / русского произношения / ну вот как будто бы / не́ет / Правда в после́днее время / появляются / мм [Л.А. Вербицкая. Лекция по орфоэпии (1976-1977) // Из архива О.А. Лаптевой] [омонимия не снята]";CONJ;PRCL
сочета́ния не́т/ и да́же как; будто ;бы по пе́рвой прове́рке и в ;2010;научный;Но во́т тако́го сочета́ния не́т/ и да́же как бу́дто бы по пе́рвой прове́рке и в хоро́ших по́льски и че́шских фо́ндах то́же буква́льно Станиго́стя не́т. [Андрей Зализняк. Что такое любительская лингвистика? Лекции Полит.ру (2010)] [омонимия не снята];CONJ;PRCL
о́чень зачасти́л к тебе́ как; будто ;;1979;художественный;Я́ слыха́л / О́н о́чень зачасти́л к тебе́ как бу́дто?  [Борис Дуров, Станислав Говорухин. Пираты XX века, к/ф (1979)] [омонимия не снята];CONJ;
Стра́нно.; будто ;че́й-то ду́х о́жил.;2006;художественный;Стра́нно. Бу́дто че́й-то ду́х о́жил. [Денис Нейманд, Константин Мурзенко, Юсуп Бахшиев. Жесть, к/ф (2006)] [омонимия не снята];ADJS;VERB
Как; будто ;мы́ в Ана́пе / ле́то / купа́ться пошли́.;2002;художественный;Как бу́дто мы́ в Ана́пе / ле́то / купа́ться пошли́. [Алексей Сидоров, Игорь Порублев. Бригада, к/ф (2002)] [омонимия не снята];CONJ;UNKN
Как; будто ;войны́ не́т.;2004;художественный;Как бу́дто войны́ не́т. [Вячеслав Никифоров, Юрий Черняков. На безымянной высоте, к/ф (2004)] [омонимия не снята];CONJ;UNKN
Разоде́л о́н всю́ брига́ду /; будто ;е́дут на дека́ду.  ;1958;художественный;Разоде́л о́н всю́ брига́ду / Бу́дто е́дут на дека́ду.   [Георгий Мдивани, Иван Лукинский. Иван Бровкин на целине, к/ф (1958)] [омонимия не снята];NOUN;ADJS
Ви́жу /; будто ;я́ на гуля́нье / что́ ли.;1964;художественный;Ви́жу / бу́дто я́ на гуля́нье / что́ ли. [Александр Островский, Константин Воинов. Женитьба Бальзаминова, к/ф (1964)] [омонимия не снята];NOUN;UNKN
услы́шим / я́ погашу́ ла́мпу / как; будто ;вы́ легли́ спа́ть.;1974;художественный;Когда́ о́н войдёт / а э́то мы́ обяза́тьно услы́шим / я́ погашу́ ла́мпу / как бу́дто вы́ легли́ спа́ть. [Аркадий Райкин, В. Храмов, Леонид Лиходеев, Михаил Жванецкий, Михаил Зощенко. Люди и манекены, к/ф (1974)] [омонимия не снята];CONJ;UNKN
Люблю́ карусе́ли.; будто ;на настоя́щей тро́йке мчи́шься.;1968;художественный;Люблю́ карусе́ли. Бу́дто на настоя́щей тро́йке мчи́шься. [Александр Роу, Михаил Вольпин, Николай Эрдман. Огонь, вода и... медные трубы, к/ф (1968)] [омонимия не снята];VERB;PREP
То́й о́сенью к Я́ну ка́к; будто ;мо́лодость верну́лась.;2000;художественный;То́й о́сенью к Я́ну ка́к бу́дто мо́лодость верну́лась. [Авдотья Смирнова, Алексей Учитель. Дневник его жены, к/ф (2000)] [омонимия не снята];NOUN;NOUN
Тебя́ ве́сь ве́чер как; будто ;что́-то беспоко́ит внутри́ / Па́ш! ;1978;художественный;Тебя́ ве́сь ве́чер как бу́дто что́-то беспоко́ит внутри́ / Па́ш!  [Виктор Мережко, Леонид Марягин. Вас ожидает гражданка Никанорова, к/ф (1978)] [омонимия не снята];CONJ;UNKN
Как; будто ;бы я́ / вы́ зна́ете.;1939;художественный;Как бу́дто бы я́ / вы́ зна́ете. [Агния Барто, Рина Зеленая, Татьяна Лукашевич. Подкидыш, к/ф (1939)] [омонимия не снята];CONJ;PRCL
Как; будто ;её не́ту/ понима́ете/ в нау́чном коммуни́зме/ ;1979;научный;Как бу́дто её не́ту/ понима́ете/ в нау́чном коммуни́зме/ в истма́те спло́шь и ря́дом. [Т.В. Булыгина-Шмелева. Доклад на чтениях, посвящённых памяти А.А.Реформатского (1979) // Фонотека ИРЯ им. В.В. Виноградова РАН] [омонимия не снята];CONJ;ADJF
служе́бной необходи́мости заставля́ю вы́пить / да́?; будто ;спа́иваю я́ тебя́ / та́к?   ;1967;художественный;служе́бной необходи́мости заставля́ю вы́пить / да́? Бу́дто спа́иваю я́ тебя́ / та́к?    [Борис Дуров, Николай Рашеев, Сергей Тарасов, Станислав Говорухин. Вертикаль, к/ф (1967)] [омонимия не снята];UNKN;VERB
